target_id,campaign_name,contact_name,organization_name,approval_status,target_send_date,intended_ask,template_type
target_53e2f2b69af454b6,CEL usage outreach 2026-07-04,Today's Students Coalition team,Today's Students Coalition,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-policy
target_d83dadbd505261ef,CEL usage outreach 2026-07-04,Urban Institute media team,Urban Institute,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,research
target_34938c4818863fea,CEL usage outreach 2026-07-04,Virginia Coalition for Open Government team,Virginia Coalition for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_69e44001a50678e0,CEL usage outreach 2026-07-04,Washington Coalition for Open Government team,Washington Coalition for Open Government,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_6c7e2cc403f1c8d4,CEL usage outreach 2026-07-04,WestEd press office,WestEd,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_239d4e48a4c4fce4,CEL usage outreach 2026-07-04,Bill Lueders,Wisconsin Freedom of Information Council,blocked,2026-07-04,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_7e028a4f103289ad,CEL usage outreach 2026-07-05,AERA communications,American Educational Research Association,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_5b2c7d6d19ef9389,CEL usage outreach 2026-07-05,Association for Institutional Research team,Association for Institutional Research,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-research
target_239ed00227e61ecf,CEL usage outreach 2026-07-05,ASHE staff,Association for the Study of Higher Education,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-research
target_35b916cb80905e2b,CEL usage outreach 2026-07-05,Andrew Rotherham,Bellwether,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-policy
target_bf5b75d3bd0cfe09,CEL usage outreach 2026-07-05,Brookings Brown Center media,Brookings Brown Center,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_d46a1650e3ab61d9,CEL usage outreach 2026-07-05,CLASP communications,Center for Law and Social Policy,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,public-interest-policy
target_03e2cf5f249d0b3c,CEL usage outreach 2026-07-05,College Promise team,College Promise,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-policy
target_fe79e440dc526135,CEL usage outreach 2026-07-05,Delaware Coalition for Open Government team,Delaware Coalition for Open Government,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_b85ef28894a40c7f,CEL usage outreach 2026-07-05,Education Commission of the States communications,Education Commission of the States,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-policy
target_64b12e008d76d37d,CEL usage outreach 2026-07-05,Kimberly Lutz,ITHAKA S+R,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-research
target_a8462b4b11865436,CEL usage outreach 2026-07-05,Learning Policy Institute press,Learning Policy Institute,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_04cd4b9bc64c729d,CEL usage outreach 2026-07-05,Maine Freedom of Information Coalition team,Maine Freedom of Information Coalition,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_6b0c383f8a708623,CEL usage outreach 2026-07-05,Mathematica press office,Mathematica,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_04fc903e3e267c58,CEL usage outreach 2026-07-05,National Academy of Education team,National Academy of Education,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_f2bae07270d5237a,CEL usage outreach 2026-07-05,NCAN team,National College Attainment Network,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,higher-education-policy
target_cd3aac364ac40ff4,CEL usage outreach 2026-07-05,National Student Clearinghouse media,National Student Clearinghouse Research Center,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-data
target_cb4fd434b639bc46,CEL usage outreach 2026-07-05,New York Committee on Open Government team,New York Committee on Open Government,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_d7aa93b1e4535601,CEL usage outreach 2026-07-05,Ohio Coalition for Open Government team,Ohio Coalition for Open Government,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_286becf84f14660a,CEL usage outreach 2026-07-05,RAND Education team,RAND Education,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_ab8ad3e5aa0a224d,CEL usage outreach 2026-07-05,Reinvent Albany team,Reinvent Albany,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,open-government
target_1fcfe17f62ebcc83,CEL usage outreach 2026-07-05,SRI Education team,SRI International,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_5a2ca5b95abcb437,CEL usage outreach 2026-07-05,SREE team,Society for Research on Educational Effectiveness,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,education-research
target_f72b667ec8a038fe,CEL usage outreach 2026-07-05,Brown and White editors,The Brown and White,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_12922d68779aabfc,CEL usage outreach 2026-07-05,Bucknellian editors,The Bucknellian,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_82cd17b452496271,CEL usage outreach 2026-07-05,The Carletonian editors,The Carletonian,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_5eda60baf4448a65,CEL usage outreach 2026-07-05,Duke Chronicle editors,The Chronicle,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_7ab25ba32f0ed081,CEL usage outreach 2026-07-05,DePaulia newsroom,The DePaulia,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_a1b87932963e2be6,CEL usage outreach 2026-07-05,Haverford Clerk editors,The Haverford Clerk,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_d3249ada132335e5,CEL usage outreach 2026-07-05,Swarthmore Phoenix editors,The Phoenix,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
target_23d5c24b1bcc942c,CEL usage outreach 2026-07-05,Technique editors,The Technique,approved_for_draft,2026-07-05,Could this be useful as public-source documentation infrastructure and what would make it more usable?,student-newsroom
